date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:40:21	3199017/3199017	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Aug%202024%2004:56:57%20GMT	https://cdsl.vn/wp-content/uploads/2024/08/pick-2.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2024/08/pick-2.jpg	(from https://cdsl.vn/about/)
22:40:36	3089732/3089732	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Dec%202025%2014:02:12%20GMT	https://cdsl.vn/wp-content/uploads/2025/12/General-Use-2.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2025/12/General-Use-2.jpg	(from https://cdsl.vn/about/)
22:40:36	1101494/1101494	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202024%2008:53:37%20GMT	https://cdsl.vn/wp-content/uploads/2024/06/IMG_0514-Edit.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2024/06/IMG_0514-Edit.jpg	(from https://cdsl.vn/about/)
22:40:37	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Dec%202025%2015:40:37%20GMT	https://cdsl.vn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://cdsl.vn/about/)
22:40:44	139826/139826	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222232-fkKY03KG03hZCxYmC68x/oRRWNo%22	https://cdn.jsdelivr.net/npm/swiper@6.4.5/swiper-bundle.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdn.jsdelivr.net/npm/swiper@6.4.5/swiper-bundle.min.js	(from https://cdsl.vn/about/)
22:40:44	64148/64148	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fa94-GovK4iQdJTwaQQULIMhA0ph4864%22	https://cdn.jsdelivr.net/npm/gsap@3.9.1/dist/gsap.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdn.jsdelivr.net/npm/gsap@3.9.1/dist/gsap.min.js	(from https://cdsl.vn/about/)
22:40:44	24528/24528	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fd0-+1sw0aC3sxK2wNj1ORek7qHZa+Q%22	https://cdn.jsdelivr.net/npm/gsap@3.9.1/dist/ScrollTrigger.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdn.jsdelivr.net/npm/gsap@3.9.1/dist/ScrollTrigger.min.js	(from https://cdsl.vn/about/)
22:40:45	15148/15148	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2002%20Aug%202021%2014:23:30%20GMT	https://cdsl.vn/wp-content/themes/collective-cdsl/js/gsap/SplitText.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/themes/collective-cdsl/js/gsap/SplitText.min.js	(from https://cdsl.vn/about/)
22:40:45	20945/20945	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2025%20Jan%202022%2002:17:07%20GMT	https://cdsl.vn/wp-content/themes/collective-cdsl/js/scripts.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/themes/collective-cdsl/js/scripts.js	(from https://cdsl.vn/about/)
22:40:45	1569/1569	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2021%20Jan%202022%2001:15:57%20GMT	https://cdsl.vn/wp-content/themes/collective-cdsl/js/globalSearch.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/themes/collective-cdsl/js/globalSearch.js	(from https://cdsl.vn/about/)
22:40:46	12332/12332	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Dec%202025%2015:40:46%20GMT	https://cdsl.vn/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://cdsl.vn/about/)
22:40:48	4586455/4586455	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2008:48:22%20GMT	https://cdsl.vn/wp-content/uploads/2024/06/Cover-Art-1.png	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2024/06/Cover-Art-1.png	(from https://cdsl.vn/about/)
22:40:52	283029/283029	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2014:23:30%20GMT	https://cdsl.vn/wp-content/themes/collective-cdsl/img/discMask.png	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/themes/collective-cdsl/img/discMask.png	(from https://cdsl.vn/wp-content/themes/collective-cdsl/css/styles.css)
22:41:28	32232857/32232857	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Dec%202025%2012:30:07%20GMT	https://cdsl.vn/wp-content/uploads/2025/12/140A0575.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2025/12/140A0575.jpg	(from https://cdsl.vn/about/)
